address,balance_snapshot1,balance_snapshot2,average_balance
0xb2c41a8d0337e19d856973cfe71b7b6f81ca4303,1479655227697224671256,2907622115715017427946,2193638671706121049601
0xd14c99b29e1931b44d4301df15ad17efff688c0e,1926199082057127947477,1926199082057127947477,1926199082057127947477
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,1664133435642684070870,1664133435642684070870,1664133435642684070870
0xf5228b56c2c4159244b763c4199b57c285051aaa,1533100075255156846305,1456788829940775733139,1494944452597966289722
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,883864465195120592713,1694237319130583078480,1289050892162851835596
0x013a22a4dcc363310307c9b43d002799ff8509d8,1173498295806603173846,1173498295806603173846,1173498295806603173846
0x822c3175b8331a4c6130307677408bb2b7f12b6d,1083615509546153828059,1238126552069117525011,1160871030807635676535
0xa7db569237278963bd4943f28691ab5d887686b6,999031832179035840580,999031832179035840580,999031832179035840580
0xb4778d16e1f8159c033e5452c4ad9a2396746702,241862156133127997474,1302054767742616891443,771958461937872444458
0x97e21a7f3b82daf63fe991c98698285c181bbd8f,1541784480264991784816,2,770892240132495892409
0x54ef479112cdb204ca7f333faa72e78645e5543e,0,1500816829819321457799,750408414909660728899
0x6e654785d5f4517ec49847ec03159e6d97304576,0,1409121247652022827549,704560623826011413774
0xc380adc6dae4cf7af8d09f953e9f190dcef583aa,641639823910898479617,641639823910898479617,641639823910898479617
0x172b8e8fa5a6729fdcd494e9d4d702f670321f91,631314042362465273273,631314042362465273273,631314042362465273273
0x16d4f2a4261d9f877fd6fdfbb226994c1c811337,630523859966635565334,630523859966635565334,630523859966635565334
0x97d745f411e88cc6224dd991bb344c3d6d8b4ed6,605175619257683778806,605175619257683778806,605175619257683778806
0x3fee441b642f782aaaad78064be04f42e924c17b,578362811117546067941,578362811117546067941,578362811117546067941
0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,0,1156313150507269744415,578156575253634872207
0xab9e9e191bcad4ef94137102bef0a719d2fecc52,446963193102412643133,674621469041298169543,560792331071855406338
0xfaa9312c80b762985a2270b8c98cbcc1e70ba86d,515934778224436102611,515934778224436102611,515934778224436102611
0x5006ffaec38fbfa960eb82ff4ba4a95f98fba6aa,506730216089159306444,506730216089159306444,506730216089159306444
0x56fca41652f64cd204f07056f598cee79745abaf,487997204863508775506,487997204863508775506,487997204863508775506
0x68cec1489842ece5d253855d24dea65694249362,469741957343430275900,469741957343430275900,469741957343430275900
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,321202782485732892216,474916102998933946198,398059442742333419207
0x40b4efdc2a243837c2d740f0894835f63349cfb9,0,788764728236454912552,394382364118227456276
0x89c1862f99ab53dcef340ea9784e523fa6d2355d,452504653386350779504,267238450641506156191,359871552013928467847
0x76a74db6fc98ac7aebc96c2e97c19d74dc828637,336039256120939867485,336039256120939867485,336039256120939867485
0x492cf24a0162bcd72265d4b7542836a5593d62ac,0,605564607566739360536,302782303783369680268
0xf9bd4b6fede9efe4f129a1285edf17b691a2aa3a,0,584099263542799784731,292049631771399892365
0xd814d1e28b449ec0964e2caab70c5f268c5052e8,283389803735429601450,283389803735429601450,283389803735429601450
0x20604aca7be7767c0af0f693bbfef69ec3fec3af,0,505597993080133246302,252798996540066623151
0xf53a28380519c51a06aee67dace98218150a29da,0,502906279773521984103,251453139886760992051
0x14aba78f570a023a5bbe4f827fdcc31632beeef4,0,500372489470831232728,250186244735415616364
0x3c1c84132dfdef572e74672917700c065581871d,241578397144951219588,241578397144951219588,241578397144951219588
0x43404bf9fafbdd93eb548ca8e886d0e54d92cbbf,0,479303399368879961580,239651699684439980790
0x64243639fdddcde1bce555618a4528b8ea3505c1,231671154354278357094,231671154354278357094,231671154354278357094
0x1c14e47baae4cbc7c2d5a2b05a76281d82805436,210304880747296848148,210304880747296848148,210304880747296848148
0x44a72b9e0f74efdc57e95e4dc52715d9433bb056,201004315203978847707,201004315203978847707,201004315203978847707
0xdc46c13325cd8edf0230d068896486f007bf4ef1,189219370784334680395,189219370784334680395,189219370784334680395
0x7d78cf703f0df1292b8c0fca0fc554906377425f,0,367631130268900599177,183815565134450299588
0x03b3de2b874ec661d2f9a76296b69e1fc52f0d28,0,281605443566360708928,140802721783180354464
0x4b5e1dcd48ef1d48b608aa0cc09f0bcb70caaab3,105369059267667026097,105369059267667026097,105369059267667026097
0xae6f7991c034e417fb86b782f90ae9e94ecd6528,70423099191191750701,89558837873007520319,79990968532099635510
0x6a458d1ac0fcf70cb5ba83e78c34efa7565ba1b3,0,156199043549212041085,78099521774606020542
0xcdd6cffad8bb07303f426902de00f3ee597c5732,0,151279541934352755657,75639770967176377828
0xf9d0403789254af862ebc0703693e1f11647a963,35600544190575934023,107369651807667246508,71485097999121590265
0xf72d9af3155da29e316cd7223a68b9fc33323218,58059343443582062906,58059343443582062906,58059343443582062906
0x9ebd9702db7cfcce7599f5c8ad7182d2025822fb,0,104610693755077688113,52305346877538844056
0x335e1cd1b9278c74f2a250f2d80e4e89a225b75e,0,102276794094684389336,51138397047342194668
0xdd7be4b917fd84b3db41c912deff8444234d6fc1,49826095639372509454,49826095639372509454,49826095639372509454
0xc3d8ad173ae5bb4d02ac0385fe8c6261c35572e7,45660453866047477541,45660453866047477541,45660453866047477541
0x37375c5b004f56615cbb410ae0bc770b73795499,44921909671142079350,46049306979057784632,45485608325099931991
0x4987f8529c988223ef269779997bc65c7bcc2c7b,39620393417129341668,39620393417129341668,39620393417129341668
0x04ca6bab20008dd5f071f6ee88939c414529ed1d,39231255030722596024,39231255030722596024,39231255030722596024
0x5d23da297a2bda0f00550091623690558b38c7b2,38179220330921240319,38179220330921240319,38179220330921240319
0xac99c545a7922fa1978ba020cad7f73cad1ff8ed,0,73781954717041608895,36890977358520804447
0xc5e0b91b673621ac17503b79ea89fc02af74ad78,36418829873713944061,36418829873713944061,36418829873713944061
0x0e50cd8804228bfad09debc0c2bad35f4527b019,0,57007874383220023666,28503937191610011833
0x67873974337d602bba1be025e9ef089d9b47c17b,28075492050654977949,28075492050654977949,28075492050654977949
0xc50c1884f170ead5e54cab45458784cf8abb01f5,26826388682681150833,26826388682681150833,26826388682681150833
0xaafff3e2b6d975f74e3140a11650e1ff2e22aae1,25349360334046425329,26179350071499454845,25764355202772940087
0x7fcebd30aedb2a6cda68df4205bb45339c21a00d,24018097172480203563,24018097172480203563,24018097172480203563
0xb83175a6cfdb247352b54a4b1b8c70444d6ebca8,23925403165803134523,23925403165803134523,23925403165803134523
0x2b800c24f371766132d571c03a1aa528c6c50d62,0,44100601677096078780,22050300838548039390
0x28de514641034f2d900cf17c25cefbfec851559a,0,37620699179313841527,18810349589656920763
0xa5848899443980b8f6eab07b4cb79d2106fd69d3,10601978194159567981,26157138972429154878,18379558583294361429
0x64b53691a7a26744e4fc05120ed6dbdb02ca335a,13299527890222506538,13299527890222506538,13299527890222506538
0x47457ac886fdcd20d0efb1f90fca931465850c48,0,26585586501062092704,13292793250531046352
0x24a80550a3d9d63a2c41585c08f122994584b66f,9954694402511505202,9954694402511505202,9954694402511505202
0xc0d477556c25c9d67e1f57245c7453da776b51cf,0,18752247211028673634,9376123605514336817
0xb63909bb7b7d691a6302a7aac6da9a1f2fd36efd,8506374252235674672,8506374252235674672,8506374252235674672
0x7506b5c4287c77de5ea1d00b60dd866b635dd1b0,8060414500405401483,8060414500405401483,8060414500405401483
0x7e7cd0bea9e8f73209d28b2cb7a9388f7a29bd76,7808096888099037828,7808096888099037828,7808096888099037828
0xce2141e5510b3712a8b781b757dbac05c5cf62ea,4936588424639985965,4936588424639985965,4936588424639985965
0x813aef302ebad333eddef619c6f8ed7fef51ba7c,3830400134966294769,3830400134966294769,3830400134966294769
0x429f0180679d93b3596e13c6c8e799a3137041a7,3624791925453993945,3624791925453993945,3624791925453993945
0x8e3e59d0146a07d79604694c51b14ea4159d162c,2123641971647270448,2123641971647270448,2123641971647270448
0x649f8b6d6838d52a5dddc6c11a235d0ba26e6ab9,1810881852600330152,1810881852600330152,1810881852600330152
0xc4a405e0d1ff7ac8d7ab802f1f8f29bb62fdd1e9,1721561028577510934,1721561028577510934,1721561028577510934
0x52132d0c320624bc73eb77f1696756d352726634,869530169881379682,869530169881379682,869530169881379682
0x0fe7f18771b58137247b347569dcdbe07f2201f6,132800571389323035,515493391388376464,324146981388849749
0xb92b0092c51cd380fcc8806757897c31409e277c,167097581690834056,167097581690834056,167097581690834056
0x7ced404a21d9199cb9a8beb52365d777a96fe556,81533209366982966,81533209366982966,81533209366982966
0x72f1c8601c30c6f42ca8b0e85d1b2f87626a0deb,66022774577147130,66022774577147130,66022774577147130
0x7ddda2969d0e6b1c0344e160f5c2d091ed86fdca,40581656665333603,40581656665333603,40581656665333603
0xb78053673c45e29fbac3028a8fc440179739448a,7079345381708916,7079345381708916,7079345381708916
0x6dd8ae87f18b11f6bcacbfba0f12a1329b05ac2f,11704820511308,2011540225391,6858180368349
0x375bff222467d43aa89daf37020ed715ef309cc1,176964896426,176964896426,176964896426
0x0000000000003884aa82e3af33fae4617889b361,27282,33451,30366
0xa3728d04e228f22b322e4195a9961290e94846ca,1,1,1
0x29566e4affd4403b09f43b1b38348e52612bf867,1,1,1
0xed4b0a284979cfa956e1b350d0c4a04b3a83e477,1,1,1
0xe1676a312d03656bef5bed10e22392c84194c416,1,1,1
0x19d3e22ab96330608864ead791a0bc9acea12cd0,1,2,1
0x278f11eeee212a796c750f03382ddb0970f7a631,0,1,0
0xc4e793690af58f54c467122f94c288bcfbe74ec1,0,1,0
